"","id","training_condition"
"1","id0001","training_self"
"2","id0002","training_self"
"3","id0003","control"
"4","id0004","training_others"
"5","id0005","control"
"6","id0006","control"
"7","id0007","training_self"
"8","id0008","training_others"
"9","id0009","training_others"
"10","id0010","training_self"
"11","id0011","control"
"12","id0011","training_self"
"13","id0012","training_others"
"14","id0013","training_self"
"15","id0014","training_others"
"16","id0015","training_others"
"17","id0016","control"
"18","id0017","training_self"
"19","id0018","training_self"
"20","id0019","training_self"
"21","id0020","training_others"
"22","id0021","training_self"
"23","id0022","training_others"
"24","id0023","training_others"
"25","id0024","control"
"26","id0025","training_self"
"27","id0026","control"
"28","id0027","training_self"
"29","id0028","training_self"
"30","id0029","training_others"
"31","id0030","training_others"
"32","id0031","training_self"
"33","id0032","training_self"
"34","id0033","control"
"35","id0034","control"
"36","id0035","control"
"37","id0036","training_self"
"38","id0037","training_others"
"39","id0038","training_others"
"40","id0039","training_others"
"41","id0040","training_others"
"42","id0041","training_others"
"43","id0042","control"
"44","id0043","control"
"45","id0044","training_self"
"46","id0045","training_self"
"47","id0046","training_self"
"48","id0047","training_others"
"49","id0048","training_self"
"50","id0049","training_self"
"51","id0050","training_others"
"52","id0051","training_self"
"53","id0052","training_self"
"54","id0053","training_others"
"55","id0054","control"
"56","id0055","training_self"
"57","id0056","control"
"58","id0057","training_self"
"59","id0058","training_others"
"60","id0059","control"
"61","id0060","training_self"
"62","id0061","training_self"
"63","id0062","training_others"
"64","id0063","training_others"
"65","id0064","training_others"
"66","id0065","training_self"
"67","id0066","training_self"
"68","id0067","training_others"
"69","id0068","training_others"
"70","id0069","control"
"71","id0070","control"
"72","id0071","training_self"
"73","id0072","training_others"
"74","id0073","training_others"
"75","id0074","control"
"76","id0075","control"
"77","id0076","training_others"
"78","id0077","training_self"
"79","id0078","control"
"80","id0079","training_self"
"81","id0080","training_self"
"82","id0081","training_self"
"83","id0082","training_self"
"84","id0083","control"
"85","id0084","training_self"
"86","id0085","training_self"
"87","id0086","control"
"88","id0087","training_others"
"89","id0088","control"
"90","id0089","control"
"91","id0090","training_others"
"92","id0091","control"
"93","id0092","control"
"94","id0093","training_others"
"95","id0094","control"
"96","id0095","control"
"97","id0096","training_self"
"98","id0097","training_others"
"99","id0098","training_self"
"100","id0099","control"
"101","id0100","training_others"
"102","id0101","training_others"
"103","id0102","control"
"104","id0103","control"
"105","id0104","training_others"
"106","id0105","training_others"
"107","id0106","training_self"
"108","id0107","control"
"109","id0108","training_others"
"110","id0109","training_self"
"111","id0110","training_others"
"112","id0111","training_self"
"113","id0112","training_self"
"114","id0113","training_others"
"115","id0114","training_self"
"116","id0115","training_others"
"117","id0116","control"
"118","id0117","training_self"
"119","id0118","training_others"
"120","id0119","control"
"121","id0120","training_others"
"122","id0121","training_others"
"123","id0122","training_self"
"124","id0123","training_self"
"125","id0124","training_self"
"126","id0125","control"
"127","id0126","training_others"
"128","id0127","control"
"129","id0128","control"
"130","id0129","control"
"131","id0130","control"
"132","id0131","training_self"
"133","id0132","control"
"134","id0133","control"
"135","id0134","training_self"
"136","id0135","training_self"
"137","id0136","training_self"
"138","id0137","training_self"
"139","id0138","training_self"
"140","id0139","training_self"
"141","id0140","training_self"
"142","id0141","control"
"143","id0142","control"
"144","id0143","training_self"
"145","id0144","training_others"
"146","id0145","control"
"147","id0146","control"
"148","id0147","control"
"149","id0148","training_others"
"150","id0149","training_self"
"151","id0150","training_self"
"152","id0151","training_others"
"153","id0152","training_self"
"154","id0153","training_self"
"155","id0154","training_self"
"156","id0155","training_others"
"157","id0156","training_others"
"158","id0157","control"
"159","id0158","training_self"
"160","id0159","training_others"
"161","id0160","training_others"
"162","id0161","training_self"
"163","id0162","control"
"164","id0163","control"
"165","id0164","training_self"
"166","id0165","training_others"
"167","id0166","training_others"
"168","id0167","training_self"
"169","id0168","training_others"
"170","id0169","training_others"
"171","id0170","training_others"
"172","id0171","training_others"
"173","id0172","training_self"
"174","id0173","training_self"
"175","id0174","training_others"
"176","id0175","training_self"
"177","id0176","training_self"
"178","id0177","training_self"
"179","id0178","training_others"
"180","id0179","training_self"
"181","id0180","training_self"
"182","id0181","control"
"183","id0182","control"
"184","id0183","training_self"
"185","id0184","training_others"
"186","id0185","control"
"187","id0186","training_others"
"188","id0187","control"
"189","id0188","control"
"190","id0189","control"
"191","id0190","training_self"
"192","id0191","training_self"
"193","id0192","training_others"
"194","id0193","training_others"
"195","id0194","control"
"196","id0195","control"
"197","id0196","training_others"
"198","id0196","training_others"
"199","id0197","training_others"
"200","id0198","training_others"
"201","id0199","training_self"
"202","id0200","control"
"203","id0201","training_self"
"204","id0202","training_self"
"205","id0203","control"
"206","id0204","training_others"
"207","id0205","training_others"
"208","id0206","training_self"
"209","id0207","control"
"210","id0208","training_others"
"211","id0208","training_others"
"212","id0209","training_others"
"213","id0210","training_others"
"214","id0211","control"
"215","id0211","training_others"
"216","id0212","control"
"217","id0213","control"
"218","id0214","training_self"
"219","id0215","training_self"
"220","id0216","control"
"221","id0217","training_self"
"222","id0218","training_self"
"223","id0219","control"
"224","id0220","training_self"
"225","id0221","control"
"226","id0222","control"
"227","id0223","training_others"
"228","id0224","control"
"229","id0225","control"
"230","id0226","training_others"
"231","id0227","control"
"232","id0228","training_others"
"233","id0228","control"
"234","id0229","training_others"
"235","id0230","control"
"236","id0231","training_others"
"237","id0232","training_others"
"238","id0233","training_self"
"239","id0234","training_self"
"240","id0235","training_others"
"241","id0236","control"
"242","id0237","control"
"243","id0238","control"
"244","id0239","training_others"
"245","id0240","training_others"
"246","id0241","training_others"
"247","id0242","training_self"
"248","id0243","training_others"
"249","id0244","training_self"
"250","id0245","training_self"
"251","id0246","training_self"
"252","id0247","training_self"
"253","id0248","training_self"
"254","id0249","training_others"
"255","id0250","control"
"256","id0251","training_others"
"257","id0252","control"
"258","id0253","control"
"259","id0254","training_others"
"260","id0255","training_others"
"261","id0256","training_self"
"262","id0257","control"
"263","id0258","training_self"
"264","id0259","training_self"
"265","id0260","training_self"
"266","id0261","training_self"
"267","id0262","training_others"
"268","id0263","training_self"
"269","id0264","control"
"270","id0265","control"
"271","id0266","control"
"272","id0267","control"
"273","id0268","training_others"
"274","id0269","control"
"275","id0270","training_self"
"276","id0271","training_others"
"277","id0272","training_self"
"278","id0273","training_others"
"279","id0274","training_others"
"280","id0275","training_others"
"281","id0276","training_self"
"282","id0277","training_others"
"283","id0278","control"
"284","id0279","control"
"285","id0280","control"
"286","id0281","training_self"
"287","id0282","training_others"
"288","id0283","training_others"
"289","id0284","training_others"
"290","id0285","control"
"291","id0286","training_self"
"292","id0287","training_others"
"293","id0288","training_others"
"294","id0289","training_others"
"295","id0290","training_self"
"296","id0291","control"
"297","id0292","training_others"
"298","id0293","training_others"
"299","id0294","training_self"
"300","id0295","training_self"
"301","id0296","training_self"
"302","id0297","training_self"
"303","id0298","training_self"
"304","id0299","control"
"305","id0300","training_self"
"306","id0301","training_others"
"307","id0302","training_self"
"308","id0303","control"
"309","id0304","control"
"310","id0305","training_self"
"311","id0306","training_self"
"312","id0307","training_self"
"313","id0308","control"
"314","id0309","training_others"
"315","id0310","training_self"
"316","id0311","training_others"
"317","id0312","training_self"
"318","id0313","control"
"319","id0314","training_others"
"320","id0315","training_self"
"321","id0316","training_others"
"322","id0317","control"
"323","id0318","training_others"
"324","id0319","training_self"
"325","id0320","control"
"326","id0321","training_self"
"327","id0322","control"
"328","id0323","control"
"329","id0324","control"
"330","id0325","training_self"
"331","id0326","control"
"332","id0327","control"
"333","id0328","training_self"
"334","id0329","control"
"335","id0330","training_self"
"336","id0331","training_self"
"337","id0332","control"
"338","id0333","control"
"339","id0333","training_others"
"340","id0334","training_others"
"341","id0335","training_self"
"342","id0336","training_others"
"343","id0337","training_self"
"344","id0338","training_self"
"345","id0339","training_self"
"346","id0340","training_self"
"347","id0341","control"
"348","id0342","control"
"349","id0343","training_others"
"350","id0344","training_self"
"351","id0345","control"
"352","id0346","control"
"353","id0347","training_self"
"354","id0348","training_others"
"355","id0349","training_others"
"356","id0350","control"
"357","id0351","training_others"
"358","id0352","training_self"
"359","id0353","control"
"360","id0354","control"
"361","id0355","control"
