"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",0,1,1,0,"practice","Practice",8,2,"black","f","accept",2,3534
"2","id0001",0,2,1,0,"practice","Practice",1,9,"black","f","accept",9,603
"3","id0001",1,1,0,0,"human","training_self",6,4,"CornflowerBlue","f","accept",4,39
"4","id0001",1,2,0,0,"AI","training_self",6,4,"Orange","f","accept",4,532
"5","id0001",1,3,0,0,"AI","training_self",7,3,"Orange","f","accept",3,988
"6","id0001",1,4,0,0,"AI","training_self",9,1,"Orange","j","reject",0,230
"7","id0001",1,5,0,0,"human","training_self",8,2,"CornflowerBlue","j","reject",0,380
"8","id0001",1,6,0,0,"human","training_self",7,3,"CornflowerBlue","j","reject",0,29
"9","id0001",1,7,0,0,"AI","training_self",8,2,"Orange","j","reject",0,248
"10","id0001",1,8,0,0,"AI","training_self",4,6,"Orange","f","accept",6,396
"11","id0001",1,9,0,0,"human","training_self",4,6,"CornflowerBlue","f","accept",6,446
"12","id0001",1,10,0,0,"AI","training_self",5,5,"Orange","f","accept",5,275
"13","id0001",1,11,0,0,"human","training_self",5,5,"CornflowerBlue","f","accept",5,194
"14","id0001",1,12,0,0,"AI","training_self",8,2,"Orange","j","reject",0,73
"15","id0001",1,13,0,0,"human","training_self",4,6,"CornflowerBlue","j","reject",0,660
"16","id0001",1,14,0,1,"human","training_self",8,2,"CornflowerBlue","j","reject",0,283
"17","id0001",1,15,0,0,"human","training_self",9,1,"CornflowerBlue","j","reject",0,239
"18","id0001",1,16,0,0,"AI","training_self",5,5,"Orange","f","accept",5,72
"19","id0001",1,17,0,0,"AI","training_self",7,3,"Orange","j","reject",0,110
"20","id0001",1,18,0,0,"human","training_self",5,5,"CornflowerBlue","f","accept",5,448
"21","id0001",1,19,0,0,"human","training_self",9,1,"CornflowerBlue","j","reject",0,100
"22","id0001",1,20,0,0,"AI","training_self",6,4,"Orange","j","reject",0,826
"23","id0001",1,21,0,0,"human","training_self",7,3,"CornflowerBlue","j","reject",0,22
"24","id0001",1,22,0,0,"AI","training_self",4,6,"Orange","f","accept",6,413
