"","id","training_condition"
"1","id0001","control"
"2","id0002","training_others"
"3","id0003","control"
"4","id0004","training_others"
"5","id0005","control"
"6","id0006","control"
"7","id0007","control"
"8","id0008","control"
"9","id0009","control"
"10","id0010","training_others"
"11","id0011","training_others"
"12","id0012","training_others"
"13","id0013","control"
"14","id0014","training_others"
"15","id0015","training_others"
"16","id0016","training_others"
"17","id0017","training_others"
"18","id0018","control"
"19","id0019","control"
"20","id0020","control"
"21","id0021","training_others"
"22","id0022","training_others"
"23","id0023","control"
"24","id0024","training_others"
"25","id0025","training_others"
"26","id0026","control"
"27","id0027","control"
"28","id0028","control"
"29","id0029","control"
"30","id0030","training_others"
"31","id0031","control"
"32","id0032","control"
"33","id0033","training_others"
"34","id0034","training_others"
"35","id0035","training_others"
"36","id0036","control"
"37","id0037","control"
"38","id0038","control"
"39","id0039","training_others"
"40","id0040","training_others"
"41","id0041","control"
"42","id0042","control"
"43","id0043","control"
"44","id0044","training_others"
"45","id0045","control"
"46","id0046","training_others"
"47","id0047","control"
"48","id0048","training_others"
"49","id0049","control"
"50","id0050","control"
"51","id0051","training_others"
"52","id0052","control"
"53","id0053","training_others"
"54","id0054","training_others"
"55","id0055","training_others"
"56","id0056","training_others"
"57","id0057","control"
"58","id0058","training_others"
"59","id0059","control"
"60","id0060","control"
"61","id0061","training_others"
"62","id0062","training_others"
"63","id0063","control"
"64","id0064","training_others"
"65","id0065","control"
"66","id0066","training_others"
"67","id0067","training_others"
"68","id0068","training_others"
"69","id0069","training_others"
"70","id0070","training_others"
"71","id0071","control"
"72","id0072","training_others"
"73","id0073","control"
"74","id0074","training_others"
"75","id0075","control"
"76","id0076","control"
"77","id0077","control"
"78","id0078","training_others"
"79","id0079","training_others"
"80","id0080","control"
"81","id0081","control"
"82","id0082","control"
"83","id0083","training_others"
"84","id0084","training_others"
"85","id0085","control"
"86","id0086","training_others"
"87","id0087","training_others"
"88","id0088","control"
"89","id0089","control"
"90","id0090","control"
"91","id0091","training_others"
"92","id0092","training_others"
"93","id0093","training_others"
"94","id0094","training_others"
"95","id0095","control"
"96","id0096","training_others"
"97","id0097","control"
"98","id0098","training_others"
"99","id0099","control"
"100","id0100","control"
"101","id0101","training_others"
"102","id0102","training_others"
"103","id0103","control"
"104","id0104","control"
"105","id0105","training_others"
"106","id0106","control"
"107","id0107","control"
"108","id0108","control"
"109","id0109","control"
"110","id0110","control"
"111","id0111","control"
"112","id0112","training_others"
"113","id0113","training_others"
"114","id0114","training_others"
"115","id0115","training_others"
"116","id0116","training_others"
"117","id0117","control"
"118","id0118","control"
"119","id0119","control"
"120","id0120","training_others"
"121","id0121","training_others"
"122","id0122","training_others"
"123","id0123","control"
"124","id0124","control"
"125","id0125","control"
"126","id0126","control"
"127","id0127","training_others"
"128","id0128","control"
"129","id0129","training_others"
"130","id0130","control"
"131","id0131","training_others"
"132","id0132","control"
"133","id0133","control"
"134","id0134","training_others"
"135","id0135","training_others"
"136","id0136","training_others"
"137","id0137","control"
"138","id0138","training_others"
"139","id0139","training_others"
"140","id0140","control"
"141","id0141","control"
"142","id0142","training_others"
"143","id0143","training_others"
"144","id0144","training_others"
"145","id0145","training_others"
"146","id0146","control"
"147","id0147","training_others"
"148","id0148","training_others"
"149","id0149","control"
"150","id0150","control"
"151","id0151","control"
"152","id0152","training_others"
"153","id0153","training_others"
"154","id0154","control"
"155","id0155","training_others"
"156","id0156","training_others"
"157","id0157","training_others"
"158","id0158","training_others"
"159","id0159","control"
"160","id0160","control"
"161","id0161","control"
"162","id0162","control"
"163","id0163","training_others"
"164","id0164","control"
"165","id0165","training_others"
"166","id0166","control"
"167","id0167","control"
"168","id0168","control"
"169","id0169","training_others"
"170","id0170","training_others"
"171","id0171","training_others"
"172","id0172","control"
"173","id0173","training_others"
"174","id0174","training_others"
"175","id0175","control"
"176","id0176","control"
"177","id0177","control"
"178","id0178","training_others"
"179","id0179","control"
"180","id0180","training_others"
"181","id0181","training_others"
"182","id0182","control"
"183","id0183","training_others"
"184","id0184","control"
"185","id0185","control"
"186","id0186","training_others"
"187","id0187","training_others"
"188","id0188","training_others"
"189","id0189","training_others"
"190","id0190","training_others"
"191","id0191","control"
"192","id0192","training_others"
"193","id0193","training_others"
"194","id0194","training_others"
"195","id0195","control"
"196","id0196","control"
"197","id0197","training_others"
"198","id0198","control"
"199","id0199","control"
"200","id0200","training_others"
"201","id0201","training_others"
"202","id0202","control"
"203","id0203","control"
"204","id0204","training_others"
"205","id0205","control"
"206","id0206","training_others"
"207","id0207","control"
"208","id0208","control"
"209","id0209","training_others"
