"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",0,1,1,0,"practice","Practice",5,5,"black","f","accept",5,141
"2","id0001",0,2,1,0,"practice","Practice",2,8,"black","f","accept",8,580
"3","id0001",1,1,0,0,"AI","control",7,3,"Orange","f","accept",3,249
"4","id0001",1,2,0,0,"AI","control",4,6,"Orange","f","accept",6,388
"5","id0001",1,3,0,0,"AI","control",7,3,"Orange","f","accept",3,1918
"6","id0001",1,4,0,0,"AI","control",6,4,"Orange","f","accept",4,872
"7","id0001",1,5,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,882
"8","id0001",1,6,0,0,"AI","control",9,1,"Orange","f","accept",1,506
"9","id0001",1,7,0,0,"AI","control",6,4,"Orange","f","accept",4,412
"10","id0001",1,8,0,0,"AI","control",5,5,"Orange","f","accept",5,398
"11","id0001",1,9,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,368
"12","id0001",1,10,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,526
"13","id0001",1,11,0,0,"AI","control",4,6,"Orange","f","accept",6,498
"14","id0001",1,12,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,382
"15","id0001",1,13,0,0,"AI","control",8,2,"Orange","f","accept",2,410
"16","id0001",1,14,0,0,"AI","control",8,2,"Orange","f","accept",2,421
"17","id0001",1,15,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,442
"18","id0001",1,16,0,0,"AI","control",5,5,"Orange","f","accept",5,420
"19","id0001",1,17,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,593
"20","id0001",1,18,0,0,"AI","control",9,1,"Orange","f","accept",1,605
"21","id0001",1,19,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,356
"22","id0001",1,20,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,446
"23","id0001",1,21,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,453
"24","id0001",1,22,0,1,"human","control",5,5,"CornflowerBlue","f","accept",5,402
"25","id0001",1,23,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,411
"26","id0001",1,24,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,711
"27","id0002",0,1,1,0,"practice","Practice",1,9,"black","f","accept",9,660
"28","id0002",0,2,1,0,"practice","Practice",9,1,"black","j","reject",0,1519
"29","id0002",1,1,0,0,"AI","training_others",7,3,"Orange","j","reject",0,1441
"30","id0002",1,2,0,0,"human","training_others",8,2,"CornflowerBlue","j","reject",0,172
"31","id0002",1,3,0,0,"human","training_others",7,3,"CornflowerBlue","j","reject",0,153
"32","id0002",1,4,0,1,"human","training_others",9,1,"CornflowerBlue","j","reject",0,143
"33","id0002",1,5,0,0,"AI","training_others",9,1,"Orange","j","reject",0,50
"34","id0002",1,6,0,0,"human","training_others",8,2,"CornflowerBlue","j","reject",0,7
"35","id0002",1,7,0,0,"human","training_others",4,6,"CornflowerBlue","f","accept",6,268
"36","id0002",1,8,0,0,"AI","training_others",9,1,"Orange","j","reject",0,301
"37","id0002",1,9,0,0,"AI","training_others",6,4,"Orange","f","accept",4,352
"38","id0002",1,10,0,0,"AI","training_others",4,6,"Orange","f","accept",6,242
"39","id0002",1,11,0,0,"AI","training_others",4,6,"Orange","f","accept",6,247
"40","id0002",1,12,0,0,"human","training_others",6,4,"CornflowerBlue","f","accept",4,280
"41","id0002",1,13,0,0,"AI","training_others",5,5,"Orange","f","accept",5,157
"42","id0002",1,14,0,0,"human","training_others",4,6,"CornflowerBlue","f","accept",6,152
"43","id0002",1,15,0,0,"AI","training_others",8,2,"Orange","j","reject",0,117
"44","id0002",1,16,0,0,"human","training_others",5,5,"CornflowerBlue","f","accept",5,235
"45","id0002",1,17,0,0,"AI","training_others",6,4,"Orange","f","accept",4,115
"46","id0002",1,18,0,0,"human","training_others",6,4,"CornflowerBlue","f","accept",4,124
"47","id0002",1,19,0,0,"AI","training_others",5,5,"Orange","f","accept",5,306
"48","id0002",1,20,0,0,"AI","training_others",8,2,"Orange","j","reject",0,296
"49","id0002",1,21,0,0,"AI","training_others",7,3,"Orange","j","reject",0,87
"50","id0002",1,22,0,0,"human","training_others",7,3,"CornflowerBlue","j","reject",0,15
"51","id0002",1,23,0,0,"human","training_others",5,5,"CornflowerBlue","f","accept",5,146
"52","id0002",1,24,0,0,"human","training_others",9,1,"CornflowerBlue","j","reject",0,25
"53","id0003",0,1,1,0,"practice","Practice",9,1,"black","j","reject",0,4484
"54","id0003",0,2,1,0,"practice","Practice",6,4,"black","j","reject",0,297
"55","id0003",1,1,0,0,"AI","control",8,2,"Orange","j","reject",0,511
"56","id0003",1,2,0,0,"AI","control",9,1,"Orange","j","reject",0,113
"57","id0003",1,3,0,0,"AI","control",9,1,"Orange","j","reject",0,152
"58","id0003",1,4,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,47
"59","id0003",1,5,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,111
"60","id0003",1,6,0,0,"AI","control",4,6,"Orange","f","accept",6,286
"61","id0003",1,7,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,278
"62","id0003",1,8,0,1,"human","control",7,3,"CornflowerBlue","j","reject",0,1060
"63","id0003",1,9,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,1360
"64","id0003",1,10,0,0,"AI","control",7,3,"Orange","j","reject",0,4823
"65","id0003",1,11,0,0,"AI","control",8,2,"Orange","j","reject",0,11430
"66","id0003",1,12,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,3275
"67","id0003",1,13,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,2517
"68","id0003",1,14,0,0,"AI","control",5,5,"Orange","f","accept",5,11
"69","id0003",1,15,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,105
"70","id0003",1,16,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,4287
"71","id0003",1,17,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,3319
"72","id0003",1,18,0,0,"AI","control",6,4,"Orange","f","accept",4,5081
"73","id0003",1,19,0,0,"AI","control",5,5,"Orange","f","accept",5,1139
"74","id0003",1,20,0,0,"AI","control",7,3,"Orange","j","reject",0,399
"75","id0003",1,21,0,0,"AI","control",6,4,"Orange","f","accept",4,5982
"76","id0003",1,22,0,0,"AI","control",4,6,"Orange","f","accept",6,3740
"77","id0003",1,23,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,7887
"78","id0003",1,24,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,12
"79","id0004",0,1,1,0,"practice","Practice",7,3,"black","f","accept",3,1908
"80","id0004",0,2,1,0,"practice","Practice",3,7,"black","f","accept",7,511
"81","id0004",1,1,0,0,"AI","training_others",7,3,"Orange","f","accept",3,447
"82","id0004",1,2,0,0,"AI","training_others",9,1,"Orange","f","accept",1,338
"83","id0004",1,3,0,0,"AI","training_others",8,2,"Orange","f","accept",2,426
"84","id0004",1,4,0,1,"human","training_others",4,6,"CornflowerBlue","f","accept",6,619
"85","id0004",1,5,0,0,"human","training_others",5,5,"CornflowerBlue","f","accept",5,457
"86","id0004",1,6,0,0,"AI","training_others",7,3,"Orange","f","accept",3,429
"87","id0004",1,7,0,0,"human","training_others",9,1,"CornflowerBlue","f","accept",1,518
"88","id0004",1,8,0,0,"AI","training_others",5,5,"Orange","f","accept",5,394
"89","id0004",1,9,0,0,"human","training_others",6,4,"CornflowerBlue","f","accept",4,346
"90","id0004",1,10,0,0,"AI","training_others",5,5,"Orange","f","accept",5,436
"91","id0004",1,11,0,0,"human","training_others",5,5,"CornflowerBlue","f","accept",5,509
"92","id0004",1,12,0,0,"AI","training_others",6,4,"Orange","f","accept",4,393
"93","id0004",1,13,0,0,"human","training_others",8,2,"CornflowerBlue","f","accept",2,433
"94","id0004",1,14,0,0,"AI","training_others",9,1,"Orange","f","accept",1,454
"95","id0004",1,15,0,0,"human","training_others",9,1,"CornflowerBlue","f","accept",1,508
"96","id0004",1,16,0,0,"AI","training_others",6,4,"Orange","f","accept",4,420
"97","id0004",1,17,0,0,"human","training_others",4,6,"CornflowerBlue","f","accept",6,482
"98","id0004",1,18,0,0,"AI","training_others",4,6,"Orange","f","accept",6,450
"99","id0004",1,19,0,0,"AI","training_others",4,6,"Orange","f","accept",6,528
"100","id0004",1,20,0,0,"AI","training_others",8,2,"Orange","f","accept",2,589
"101","id0004",1,21,0,0,"human","training_others",8,2,"CornflowerBlue","f","accept",2,472
"102","id0004",1,22,0,0,"human","training_others",7,3,"CornflowerBlue","f","accept",3,540
"103","id0004",1,23,0,0,"human","training_others",7,3,"CornflowerBlue","f","accept",3,444
"104","id0004",1,24,0,0,"human","training_others",6,4,"CornflowerBlue","f","accept",4,493
"105","id0005",0,1,1,0,"practice","Practice",10,0,"black","j","reject",0,2747
"106","id0005",0,2,1,0,"practice","Practice",9,1,"black","j","reject",0,604
"107","id0005",1,1,0,0,"AI","control",6,4,"Orange","f","accept",4,2973
"108","id0005",1,2,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,778
"109","id0005",1,3,0,0,"AI","control",8,2,"Orange","j","reject",0,731
"110","id0005",1,4,0,0,"AI","control",5,5,"Orange","f","accept",5,254
"111","id0005",1,5,0,0,"AI","control",7,3,"Orange","j","reject",0,438
"112","id0005",1,6,0,0,"AI","control",4,6,"Orange","f","accept",6,325
"113","id0005",1,7,0,1,"human","control",6,4,"CornflowerBlue","f","accept",4,662
"114","id0005",1,8,0,0,"AI","control",6,4,"Orange","f","accept",4,394
"115","id0005",1,9,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,403
"116","id0005",1,10,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,601
"117","id0005",1,11,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,309
"118","id0005",1,12,0,0,"AI","control",4,6,"Orange","f","accept",6,415
"119","id0005",1,13,0,0,"AI","control",9,1,"Orange","j","reject",0,427
"120","id0005",1,14,0,0,"AI","control",9,1,"Orange","j","reject",0,398
"121","id0005",1,15,0,0,"AI","control",7,3,"Orange","j","reject",0,473
"122","id0005",1,16,0,0,"AI","control",8,2,"Orange","j","reject",0,287
"123","id0005",1,17,0,0,"AI","control",5,5,"Orange","f","accept",5,538
"124","id0005",1,18,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,562
"125","id0005",1,19,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,379
"126","id0005",1,20,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,346
"127","id0005",1,21,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,441
"128","id0005",1,22,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,296
"129","id0005",1,23,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,610
"130","id0005",1,24,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,354
"131","id0006",0,1,1,0,"practice","Practice",5,5,"black","f","accept",5,3490
"132","id0006",0,2,1,0,"practice","Practice",10,0,"black","f","accept",0,690
"133","id0006",1,1,0,0,"AI","control",7,3,"Orange","f","accept",3,1348
"134","id0006",1,2,0,0,"AI","control",9,1,"Orange","f","accept",1,732
"135","id0006",1,3,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,586
"136","id0006",1,4,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,531
"137","id0006",1,5,0,0,"AI","control",8,2,"Orange","f","accept",2,404
"138","id0006",1,6,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,111
"139","id0006",1,7,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,1541
"140","id0006",1,8,0,0,"AI","control",4,6,"Orange","f","accept",6,936
"141","id0006",1,9,0,0,"AI","control",5,5,"Orange","f","accept",5,449
"142","id0006",1,10,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,565
"143","id0006",1,11,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,418
"144","id0006",1,12,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,929
"145","id0006",1,13,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,496
"146","id0006",1,14,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,466
"147","id0006",1,15,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,352
"148","id0006",1,16,0,0,"AI","control",9,1,"Orange","j","reject",0,1210
"149","id0006",1,17,0,0,"AI","control",6,4,"Orange","f","accept",4,457
"150","id0006",1,18,0,0,"AI","control",7,3,"Orange","f","accept",3,4950
"151","id0006",1,19,0,0,"AI","control",8,2,"Orange","j","reject",0,472
"152","id0006",1,20,0,0,"AI","control",5,5,"Orange","f","accept",5,470
"153","id0006",1,21,0,0,"AI","control",6,4,"Orange","f","accept",4,425
"154","id0006",1,22,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,414
"155","id0006",1,23,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,580
"156","id0006",1,24,0,1,"AI","control",4,6,"Orange","f","accept",6,994
"157","id0007",0,1,1,0,"practice","Practice",5,5,"black","f","accept",5,661
"158","id0007",0,2,1,0,"practice","Practice",2,8,"black","f","accept",8,714
"159","id0007",1,1,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,698
"160","id0007",1,2,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,620
"161","id0007",1,3,0,0,"AI","control",8,2,"Orange","j","reject",0,837
"162","id0007",1,4,0,1,"AI","control",4,6,"Orange","f","accept",6,188
"163","id0007",1,5,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,404
"164","id0007",1,6,0,0,"AI","control",9,1,"Orange","j","reject",0,455
"165","id0007",1,7,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,1007
"166","id0007",1,8,0,0,"AI","control",6,4,"Orange","j","reject",0,846
"167","id0007",1,9,0,0,"AI","control",7,3,"Orange","j","reject",0,829
"168","id0007",1,10,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,284
"169","id0007",1,11,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,333
"170","id0007",1,12,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,732
"171","id0007",1,13,0,0,"AI","control",5,5,"Orange","f","accept",5,320
"172","id0007",1,14,0,0,"AI","control",7,3,"Orange","j","reject",0,405
"173","id0007",1,15,0,0,"AI","control",8,2,"Orange","j","reject",0,375
"174","id0007",1,16,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,404
"175","id0007",1,17,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,471
"176","id0007",1,18,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,540
"177","id0007",1,19,0,0,"AI","control",6,4,"Orange","j","reject",0,430
"178","id0007",1,20,0,0,"AI","control",5,5,"Orange","f","accept",5,598
"179","id0007",1,21,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,404
"180","id0007",1,22,0,0,"AI","control",4,6,"Orange","f","accept",6,588
"181","id0007",1,23,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,549
"182","id0007",1,24,0,0,"AI","control",9,1,"Orange","j","reject",0,1254
"183","id0008",0,1,1,0,"practice","Practice",9,1,"black","j","reject",0,568
"184","id0008",0,2,1,0,"practice","Practice",6,4,"black","f","accept",4,221
"185","id0008",1,1,0,0,"AI","control",5,5,"Orange","f","accept",5,446
"186","id0008",1,2,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,221
"187","id0008",1,3,0,0,"AI","control",4,6,"Orange","f","accept",6,313
"188","id0008",1,4,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,250
"189","id0008",1,5,0,1,"AI","control",7,3,"Orange","j","reject",0,306
"190","id0008",1,6,0,0,"AI","control",8,2,"Orange","j","reject",0,338
"191","id0008",1,7,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,2122
"192","id0008",1,8,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,224
"193","id0008",1,9,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,291
"194","id0008",1,10,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,371
"195","id0008",1,11,0,0,"AI","control",6,4,"Orange","j","reject",0,1017
"196","id0008",1,12,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,73
"197","id0008",1,13,0,0,"AI","control",7,3,"Orange","j","reject",0,118
"198","id0008",1,14,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,746
"199","id0008",1,15,0,0,"AI","control",9,1,"Orange","j","reject",0,232
"200","id0008",1,16,0,0,"AI","control",5,5,"Orange","f","accept",5,140
"201","id0008",1,17,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,117
"202","id0008",1,18,0,0,"AI","control",9,1,"Orange","j","reject",0,160
"203","id0008",1,19,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,245
"204","id0008",1,20,0,0,"AI","control",6,4,"Orange","f","accept",4,190
"205","id0008",1,21,0,0,"AI","control",4,6,"Orange","f","accept",6,387
"206","id0008",1,22,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,114
"207","id0008",1,23,0,0,"AI","control",8,2,"Orange","j","reject",0,691
"208","id0008",1,24,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,237
"209","id0009",0,1,1,0,"practice","Practice",4,6,"black","f","accept",6,2218
"210","id0009",0,2,1,0,"practice","Practice",9,1,"black","f","accept",1,589
"211","id0009",1,1,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,1721
"212","id0009",1,2,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,466
"213","id0009",1,3,0,0,"AI","control",5,5,"Orange","f","accept",5,407
"214","id0009",1,4,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,703
"215","id0009",1,5,0,0,"AI","control",7,3,"Orange","f","accept",3,615
"216","id0009",1,6,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,736
"217","id0009",1,7,0,0,"AI","control",6,4,"Orange","f","accept",4,704
"218","id0009",1,8,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,494
"219","id0009",1,9,0,0,"AI","control",9,1,"Orange","f","accept",1,533
"220","id0009",1,10,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,870
"221","id0009",1,11,0,0,"AI","control",5,5,"Orange","f","accept",5,4233
"222","id0009",1,12,0,0,"AI","control",4,6,"Orange","f","accept",6,628
"223","id0009",1,13,0,0,"human","control",8,2,"CornflowerBlue","f","accept",2,1734
"224","id0009",1,14,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,1631
"225","id0009",1,15,0,0,"human","control",7,3,"CornflowerBlue","f","accept",3,420
"226","id0009",1,16,0,0,"AI","control",8,2,"Orange","f","accept",2,463
"227","id0009",1,17,0,1,"human","control",7,3,"CornflowerBlue","f","accept",3,442
"228","id0009",1,18,0,0,"human","control",6,4,"CornflowerBlue","f","accept",4,415
"229","id0009",1,19,0,0,"AI","control",8,2,"Orange","f","accept",2,485
"230","id0009",1,20,0,0,"AI","control",7,3,"Orange","f","accept",3,301
"231","id0009",1,21,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,420
"232","id0009",1,22,0,0,"AI","control",6,4,"Orange","f","accept",4,324
"233","id0009",1,23,0,0,"AI","control",9,1,"Orange","f","accept",1,909
"234","id0009",1,24,0,0,"AI","control",4,6,"Orange","f","accept",6,412
"235","id0010",0,1,1,0,"practice","Practice",3,7,"black","f","accept",7,1755
"236","id0010",0,2,1,0,"practice","Practice",6,4,"black","f","accept",4,434
"237","id0010",1,1,0,0,"human","training_others",6,4,"Orange","f","accept",4,446
"238","id0010",1,2,0,0,"human","training_others",4,6,"Orange","f","accept",6,265
"239","id0010",1,3,0,0,"human","training_others",7,3,"Orange","f","accept",3,471
"240","id0010",1,4,0,0,"AI","training_others",8,2,"CornflowerBlue","j","reject",0,483
"241","id0010",1,5,0,0,"AI","training_others",9,1,"CornflowerBlue","j","reject",0,435
"242","id0010",1,6,0,0,"AI","training_others",5,5,"CornflowerBlue","f","accept",5,268
"243","id0010",1,7,0,0,"human","training_others",6,4,"Orange","f","accept",4,371
"244","id0010",1,8,0,0,"human","training_others",4,6,"Orange","f","accept",6,333
"245","id0010",1,9,0,0,"human","training_others",8,2,"Orange","j","reject",0,421
