"","id","training_condition"
"1","id0001","training_self"
"2","id0002","training_others"
"3","id0003","control"
"4","id0004","training_self"
"5","id0005","control"
"6","id0006","training_self"
"7","id0007","training_self"
"8","id0008","training_others"
"9","id0009","training_others"
"10","id0010","training_others"
"11","id0011","training_self"
"12","id0012","training_self"
"13","id0013","training_self"
"14","id0014","training_others"
"15","id0015","control"
"16","id0016","training_others"
"17","id0017","training_others"
"18","id0018","training_others"
"19","id0019","training_others"
"20","id0020","training_others"
"21","id0021","training_self"
"22","id0022","control"
"23","id0023","training_self"
"24","id0024","control"
"25","id0025","training_self"
"26","id0026","control"
"27","id0027","training_others"
"28","id0028","training_others"
"29","id0029","training_self"
"30","id0030","training_self"
"31","id0031","control"
"32","id0032","training_self"
"33","id0033","training_self"
"34","id0034","control"
"35","id0035","control"
"36","id0036","training_others"
"37","id0037","training_others"
"38","id0038","training_self"
"39","id0039","training_others"
"40","id0040","training_others"
"41","id0041","training_self"
"42","id0042","training_others"
"43","id0043","training_others"
"44","id0044","training_others"
"45","id0045","training_others"
"46","id0046","control"
"47","id0047","control"
"48","id0048","control"
"49","id0049","control"
"50","id0050","training_others"
"51","id0051","training_others"
"52","id0052","control"
"53","id0053","control"
"54","id0054","control"
"55","id0055","training_others"
"56","id0056","control"
"57","id0057","control"
"58","id0058","training_self"
"59","id0059","training_self"
"60","id0060","control"
"61","id0061","training_others"
"62","id0062","control"
"63","id0063","control"
"64","id0064","control"
"65","id0065","training_others"
"66","id0066","training_others"
"67","id0067","training_others"
"68","id0068","training_self"
"69","id0069","training_self"
"70","id0070","training_self"
"71","id0071","training_others"
"72","id0072","training_self"
"73","id0073","training_others"
"74","id0074","training_self"
"75","id0075","control"
"76","id0076","control"
"77","id0077","control"
"78","id0078","training_self"
"79","id0079","training_self"
"80","id0080","training_others"
"81","id0081","training_others"
"82","id0082","control"
"83","id0083","training_others"
"84","id0084","control"
"85","id0085","training_self"
"86","id0086","training_self"
"87","id0087","control"
"88","id0088","control"
"89","id0089","training_self"
"90","id0090","training_others"
"91","id0091","training_others"
"92","id0092","training_others"
"93","id0093","training_others"
"94","id0094","control"
"95","id0095","training_self"
"96","id0096","training_others"
"97","id0097","training_others"
"98","id0098","training_others"
"99","id0099","control"
"100","id0100","training_others"
"101","id0101","training_self"
"102","id0102","training_others"
"103","id0103","control"
"104","id0104","training_self"
"105","id0105","control"
"106","id0106","control"
"107","id0107","training_others"
"108","id0108","training_others"
"109","id0109","control"
"110","id0110","control"
"111","id0111","training_others"
"112","id0112","training_self"
"113","id0113","training_others"
"114","id0114","training_self"
"115","id0115","training_others"
"116","id0116","training_self"
"117","id0117","control"
"118","id0118","training_others"
"119","id0119","training_others"
"120","id0120","training_self"
"121","id0121","training_self"
"122","id0122","control"
"123","id0123","control"
"124","id0124","control"
"125","id0125","training_self"
"126","id0126","training_self"
"127","id0127","training_others"
"128","id0128","training_others"
"129","id0129","training_others"
"130","id0130","training_others"
"131","id0131","control"
"132","id0132","training_others"
"133","id0133","control"
"134","id0134","control"
"135","id0135","training_self"
"136","id0136","training_self"
"137","id0137","training_others"
"138","id0138","control"
"139","id0139","training_self"
"140","id0140","control"
"141","id0141","control"
"142","id0142","control"
"143","id0143","training_others"
"144","id0144","control"
"145","id0145","control"
"146","id0146","control"
"147","id0147","training_self"
"148","id0148","training_others"
"149","id0149","training_self"
"150","id0150","training_others"
"151","id0151","control"
"152","id0152","training_others"
"153","id0153","training_others"
"154","id0154","training_others"
"155","id0155","control"
"156","id0156","training_others"
"157","id0157","training_others"
"158","id0158","training_self"
"159","id0159","training_self"
"160","id0159","training_self"
"161","id0160","training_others"
"162","id0161","training_others"
"163","id0162","control"
"164","id0163","control"
"165","id0164","training_others"
"166","id0165","training_others"
"167","id0166","training_self"
"168","id0167","training_self"
"169","id0168","training_others"
"170","id0169","control"
"171","id0170","control"
"172","id0171","training_self"
"173","id0172","training_others"
"174","id0173","training_self"
"175","id0173","control"
"176","id0174","training_others"
"177","id0175","training_self"
"178","id0176","training_self"
"179","id0177","training_others"
"180","id0178","training_self"
"181","id0179","control"
"182","id0180","training_self"
"183","id0181","training_self"
"184","id0182","control"
"185","id0183","control"
"186","id0184","training_others"
"187","id0185","control"
"188","id0186","training_self"
"189","id0187","training_self"
"190","id0188","training_self"
"191","id0189","training_others"
"192","id0190","training_self"
"193","id0191","training_self"
"194","id0192","control"
"195","id0193","control"
"196","id0194","control"
"197","id0195","training_others"
"198","id0196","training_self"
"199","id0197","training_others"
"200","id0198","training_self"
"201","id0199","control"
"202","id0200","training_self"
"203","id0201","control"
"204","id0202","control"
"205","id0203","control"
"206","id0204","training_others"
"207","id0205","training_self"
"208","id0206","training_self"
"209","id0207","control"
"210","id0208","training_others"
"211","id0209","control"
"212","id0210","control"
"213","id0211","control"
"214","id0212","training_others"
"215","id0213","training_self"
"216","id0214","training_self"
"217","id0215","training_self"
"218","id0216","control"
"219","id0217","training_others"
"220","id0218","training_self"
"221","id0219","training_others"
"222","id0220","control"
"223","id0221","training_self"
"224","id0222","training_others"
"225","id0223","training_self"
"226","id0224","training_self"
