"","id","training_condition"
"1","id0001","training_self"
"2","id0002","training_others"
"3","id0003","control"
"4","id0005","control"
"5","id0006","training_self"
"6","id0007","training_self"
"7","id0008","training_others"
"8","id0009","training_others"
"9","id0010","training_others"
"10","id0011","training_self"
"11","id0012","training_self"
"12","id0013","training_self"
"13","id0014","training_others"
"14","id0015","control"
"15","id0016","training_others"
"16","id0017","training_others"
"17","id0019","training_others"
"18","id0020","training_others"
"19","id0023","training_self"
"20","id0024","control"
"21","id0025","training_self"
"22","id0026","control"
"23","id0029","training_self"
"24","id0030","training_self"
"25","id0031","control"
"26","id0032","training_self"
"27","id0033","training_self"
"28","id0034","control"
"29","id0035","control"
"30","id0037","training_others"
"31","id0037","training_others"
"32","id0038","training_self"
"33","id0039","training_others"
"34","id0040","training_others"
"35","id0041","training_self"
"36","id0042","training_others"
"37","id0043","training_others"
"38","id0044","training_others"
"39","id0045","training_others"
"40","id0046","control"
"41","id0047","control"
"42","id0049","control"
"43","id0050","training_others"
"44","id0051","training_others"
"45","id0052","control"
"46","id0054","control"
"47","id0056","control"
"48","id0057","control"
"49","id0058","training_self"
"50","id0059","training_self"
"51","id0060","control"
"52","id0061","training_others"
"53","id0062","control"
"54","id0063","control"
"55","id0064","control"
"56","id0065","training_others"
"57","id0066","training_others"
"58","id0068","training_self"
"59","id0069","training_self"
"60","id0070","training_self"
"61","id0071","training_others"
"62","id0072","training_self"
"63","id0073","training_others"
"64","id0074","training_self"
"65","id0075","control"
"66","id0076","control"
"67","id0077","control"
"68","id0078","training_self"
"69","id0079","training_self"
"70","id0080","training_others"
"71","id0081","training_others"
"72","id0082","control"
"73","id0084","control"
"74","id0085","training_self"
"75","id0086","training_self"
"76","id0087","control"
"77","id0088","control"
"78","id0089","training_self"
"79","id0090","training_others"
"80","id0092","training_others"
"81","id0093","training_others"
"82","id0094","control"
"83","id0095","training_self"
"84","id0096","training_others"
"85","id0097","training_others"
"86","id0098","training_others"
"87","id0099","control"
"88","id0100","training_others"
"89","id0101","training_self"
"90","id0102","training_others"
"91","id0103","control"
"92","id0104","training_self"
"93","id0105","control"
"94","id0106","control"
"95","id0107","training_others"
"96","id0108","training_others"
"97","id0109","control"
"98","id0111","training_others"
"99","id0112","training_self"
"100","id0113","training_others"
"101","id0114","training_self"
"102","id0115","training_others"
"103","id0116","training_self"
"104","id0117","control"
"105","id0118","training_others"
"106","id0119","training_others"
"107","id0120","training_self"
"108","id0121","training_self"
"109","id0122","control"
"110","id0123","control"
"111","id0124","control"
"112","id0126","training_self"
"113","id0127","training_others"
"114","id0128","training_others"
"115","id0129","training_others"
"116","id0130","training_others"
"117","id0132","training_others"
"118","id0133","control"
"119","id0134","control"
"120","id0135","training_self"
"121","id0136","training_self"
"122","id0137","training_others"
"123","id0139","training_self"
"124","id0140","control"
"125","id0141","control"
"126","id0142","control"
"127","id0143","training_others"
"128","id0144","control"
"129","id0146","control"
"130","id0147","training_self"
"131","id0148","training_others"
"132","id0149","training_self"
"133","id0150","training_others"
"134","id0151","control"
"135","id0152","training_others"
"136","id0153","training_others"
"137","id0154","training_others"
"138","id0155","control"
"139","id0157","training_others"
"140","id0158","training_self"
"141","id0159","training_self"
"142","id0160","training_others"
"143","id0161","training_others"
"144","id0162","control"
"145","id0163","control"
"146","id0164","training_others"
"147","id0165","training_others"
"148","id0166","training_self"
"149","id0167","training_self"
"150","id0168","training_others"
"151","id0169","control"
"152","id0170","control"
"153","id0171","training_self"
"154","id0173","control"
"155","id0174","training_others"
"156","id0175","training_self"
"157","id0176","training_self"
"158","id0177","training_others"
"159","id0178","training_self"
"160","id0179","control"
"161","id0180","training_self"
"162","id0181","training_self"
"163","id0182","control"
"164","id0183","control"
"165","id0184","training_others"
"166","id0185","control"
"167","id0186","training_self"
"168","id0187","training_self"
"169","id0188","training_self"
"170","id0189","training_others"
"171","id0190","training_self"
"172","id0191","training_self"
"173","id0192","control"
"174","id0193","control"
"175","id0194","control"
"176","id0195","training_others"
"177","id0196","training_self"
"178","id0197","training_others"
"179","id0198","training_self"
"180","id0199","control"
"181","id0201","control"
"182","id0202","control"
"183","id0203","control"
"184","id0204","training_others"
"185","id0205","training_self"
"186","id0206","training_self"
"187","id0208","training_others"
"188","id0209","control"
"189","id0210","control"
"190","id0211","control"
"191","id0212","training_others"
"192","id0213","training_self"
"193","id0215","training_self"
"194","id0216","control"
"195","id0217","training_others"
"196","id0219","training_others"
"197","id0221","training_self"
"198","id0223","training_self"
"199","id0224","training_self"
"200","id0225","training_self"
"201","id0226","control"
"202","id0227","control"
"203","id0228","control"
"204","id0229","training_others"
"205","id0230","training_self"
"206","id0231","training_self"
"207","id0232","training_others"
"208","id0233","training_others"
"209","id0234","training_others"
"210","id0235","control"
"211","id0236","control"
"212","id0237","control"
"213","id0238","training_self"
"214","id0239","training_self"
"215","id0240","training_others"
"216","id0241","training_others"
"217","id0242","training_self"
"218","id0243","control"
"219","id0244","control"
"220","id0245","control"
"221","id0246","training_others"
"222","id0247","control"
"223","id0248","training_self"
"224","id0249","control"
"225","id0250","control"
"226","id0251","control"
"227","id0252","training_others"
