"","id","training_condition"
"1","id0001","Proposer"
"2","id0002","None"
"3","id0003","Proposer"
"4","id0004","None"
"5","id0005","None"
"6","id0006","None"
"7","id0007","Proposer"
"8","id0008","None"
"9","id0009","Proposer"
"10","id0010","Proposer"
"11","id0011","None"
"12","id0012","None"
"13","id0013","None"
"14","id0014","Proposer"
"15","id0015","None"
"16","id0016","None"
"17","id0017","None"
"18","id0018","None"
"19","id0019","None"
"20","id0020","None"
"21","id0021","None"
"22","id0022","Proposer"
"23","id0023","None"
"24","id0024","None"
"25","id0025","None"
"26","id0026","Proposer"
"27","id0027","None"
"28","id0028","None"
"29","id0029","None"
"30","id0030","Proposer"
"31","id0031","Proposer"
"32","id0032","Proposer"
"33","id0033","Proposer"
"34","id0034","Proposer"
"35","id0035","None"
"36","id0036","None"
"37","id0037","None"
"38","id0038","Proposer"
"39","id0039","None"
"40","id0040","None"
"41","id0041","None"
"42","id0042","Proposer"
"43","id0043","None"
"44","id0044","None"
"45","id0045","Proposer"
"46","id0046","None"
"47","id0047","Proposer"
"48","id0048","None"
"49","id0049","Proposer"
"50","id0050","None"
"51","id0051","Proposer"
"52","id0052","None"
"53","id0053","None"
"54","id0054","None"
"55","id0055","None"
"56","id0056","Proposer"
"57","id0057","None"
"58","id0058","None"
"59","id0059","Proposer"
"60","id0060","Proposer"
"61","id0061","None"
"62","id0062","Proposer"
"63","id0063","Proposer"
"64","id0064","None"
"65","id0065","Proposer"
"66","id0065","None"
"67","id0066","Proposer"
"68","id0067","Proposer"
"69","id0068","None"
"70","id0069","None"
"71","id0070","Proposer"
"72","id0071","Proposer"
"73","id0072","None"
"74","id0073","Proposer"
"75","id0074","Proposer"
"76","id0075","Proposer"
"77","id0076","Proposer"
"78","id0077","Proposer"
"79","id0078","Proposer"
"80","id0078","Proposer"
"81","id0079","Proposer"
"82","id0080","Proposer"
"83","id0081","None"
"84","id0082","None"
"85","id0083","None"
"86","id0083","Proposer"
"87","id0084","None"
"88","id0085","None"
"89","id0086","None"
"90","id0087","Proposer"
"91","id0088","Proposer"
"92","id0089","Proposer"
"93","id0090","None"
"94","id0090","Proposer"
"95","id0091","None"
"96","id0092","Proposer"
"97","id0093","Proposer"
"98","id0094","Proposer"
"99","id0095","Proposer"
"100","id0096","Proposer"
"101","id0097","Proposer"
"102","id0098","None"
"103","id0099","Proposer"
"104","id0100","None"
"105","id0101","None"
"106","id0102","Proposer"
"107","id0103","Proposer"
"108","id0104","None"
"109","id0104","None"
"110","id0105","None"
"111","id0106","None"
"112","id0107","None"
"113","id0108","None"
"114","id0109","Proposer"
"115","id0110","Proposer"
"116","id0111","None"
"117","id0112","Proposer"
"118","id0113","Proposer"
"119","id0114","Proposer"
"120","id0115","Proposer"
"121","id0116","Proposer"
"122","id0117","None"
"123","id0118","None"
"124","id0119","Proposer"
"125","id0120","None"
"126","id0121","None"
"127","id0122","Proposer"
"128","id0123","Proposer"
"129","id0124","Proposer"
"130","id0125","None"
"131","id0126","None"
"132","id0127","Proposer"
"133","id0128","None"
"134","id0129","Proposer"
"135","id0129","None"
"136","id0130","Proposer"
"137","id0131","Proposer"
"138","id0132","Proposer"
"139","id0133","Proposer"
"140","id0134","None"
"141","id0135","None"
"142","id0136","None"
"143","id0137","Proposer"
"144","id0138","Proposer"
"145","id0138","Proposer"
"146","id0139","None"
"147","id0140","Proposer"
"148","id0141","Proposer"
"149","id0142","Proposer"
"150","id0142","None"
"151","id0143","Proposer"
"152","id0144","Proposer"
"153","id0145","None"
"154","id0146","None"
"155","id0147","Proposer"
"156","id0148","None"
"157","id0149","Proposer"
"158","id0150","Proposer"
"159","id0151","None"
"160","id0152","None"
"161","id0153","Proposer"
"162","id0154","Proposer"
"163","id0155","Proposer"
"164","id0156","Proposer"
"165","id0157","Proposer"
"166","id0158","Proposer"
"167","id0159","Proposer"
"168","id0160","Proposer"
"169","id0161","Proposer"
"170","id0162","None"
"171","id0163","None"
"172","id0164","Proposer"
"173","id0165","None"
"174","id0166","None"
"175","id0167","Proposer"
"176","id0168","None"
"177","id0169","None"
"178","id0170","None"
"179","id0171","Proposer"
"180","id0172","Proposer"
"181","id0173","Proposer"
"182","id0174","None"
"183","id0175","Proposer"
"184","id0176","Proposer"
"185","id0177","Proposer"
"186","id0178","None"
"187","id0179","None"
"188","id0180","Proposer"
"189","id0181","None"
"190","id0182","Proposer"
"191","id0183","Proposer"
"192","id0184","None"
"193","id0185","None"
"194","id0186","Proposer"
"195","id0187","Proposer"
"196","id0188","Proposer"
"197","id0189","None"
"198","id0190","None"
"199","id0191","None"
"200","id0192","Proposer"
"201","id0193","None"
"202","id0194","Proposer"
"203","id0195","Proposer"
"204","id0196","Proposer"
"205","id0197","Proposer"
"206","id0198","Proposer"
"207","id0199","None"
"208","id0200","None"
"209","id0201","Proposer"
"210","id0202","None"
"211","id0203","Proposer"
"212","id0204","Proposer"
"213","id0205","Proposer"
"214","id0206","Proposer"
"215","id0207","None"
"216","id0208","None"
"217","id0209","None"
"218","id0210","Proposer"
"219","id0211","None"
"220","id0212","None"
"221","id0213","None"
"222","id0214","Proposer"
"223","id0215","Proposer"
"224","id0216","Proposer"
"225","id0217","None"
"226","id0218","None"
"227","id0219","None"
"228","id0220","None"
"229","id0221","Proposer"
"230","id0222","None"
"231","id0223","Proposer"
"232","id0224","None"
"233","id0225","None"
"234","id0226","None"
